Number of nodes is: 3
Number of cores/ranks per node is: 64
Cell on rank 150 before loadbalancing: 1866
Cell on rank 151 before loadbalancing: 1856
Cell on rank 152 before loadbalancing: 1832
Cell on rank 153 before loadbalancing: 1835
Cell on rank 154 before loadbalancing: 1833
Cell on rank 155 before loadbalancing: 1834
Cell on rank 156 before loadbalancing: 1869
Cell on rank 157 before loadbalancing: 1853
Cell on rank 158 before loadbalancing: 1853
Cell on rank 159 before loadbalancing: 1858
Cell on rank 160 before loadbalancing: 1869
Cell on rank 161 before loadbalancing: 1856
Cell on rank 162 before loadbalancing: 1851
Cell on rank 163 before loadbalancing: 1832
Cell on rank 164 before loadbalancing: 1832
Cell on rank 165 before loadbalancing: 1832
Cell on rank 166 before loadbalancing: 1855
Cell on rank 167 before loadbalancing: 1832
Cell on rank 168 before loadbalancing: 1858
Cell on rank 169 before loadbalancing: 1832
Cell on rank 170 before loadbalancing: 1867
Cell on rank 171 before loadbalancing: 1865
Cell on rank 172 before loadbalancing: 1854
Cell on rank 173 before loadbalancing: 1840
Cell on rank 174 before loadbalancing: 1855
Cell on rank 175 before loadbalancing: 1869
Cell on rank 176 before loadbalancing: 1854
Cell on rank 177 before loadbalancing: 1861
Cell on rank 178 before loadbalancing: 1862
Cell on rank 179 before loadbalancing: 1867
Cell on rank 180 before loadbalancing: 1832
Cell on rank 181 before loadbalancing: 1869
Cell on rank 182 before loadbalancing: 1838
Cell on rank 183 before loadbalancing: 1846
Cell on rank 184 before loadbalancing: 1847
Cell on rank 185 before loadbalancing: 1869
Cell on rank 186 before loadbalancing: 1864
Cell on rank 187 before loadbalancing: 1832
Cell on rank 188 before loadbalancing: 1857
Cell on rank 189 before loadbalancing: 1837
Cell on rank 190 before loadbalancing: 1868
Cell on rank 191 before loadbalancing: 1856
Edge-cut: -2130616359


			Rank 0	Rank 1	Rank 2	Rank 3	Rank 4	Rank 5	Rank 6	Rank 7	Rank 8	Rank 9	Rank 10	Rank 11	Rank 12	Rank 13	Rank 14	Rank 15	Rank 16	Rank 17	Rank 18	Rank 19	Rank 20	Rank 21	Rank 22	Rank 23	Rank 24	Rank 25	Rank 26	Rank 27	Rank 28	Rank 29	Rank 30	Rank 31	Rank 32	Rank 33	Rank 34	Rank 35	Rank 36	Rank 37	Rank 38	Rank 39	Rank 40	Rank 41	Rank 42	Rank 43	Rank 44	Rank 45	Rank 46	Rank 47	Rank 48	Rank 49	Rank 50	Rank 51	Rank 52	Rank 53	Rank 54	Rank 55	Rank 56	Rank 57	Rank 58	Rank 59	Rank 60	Rank 61	Rank 62	Rank 63	Rank 64	Rank 65	Rank 66	Rank 67	Rank 68	Rank 69	Rank 70	Rank 71	Rank 72	Rank 73	Rank 74	Rank 75	Rank 76	Rank 77	Rank 78	Rank 79	Rank 80	Rank 81	Rank 82	Rank 83	Rank 84	Rank 85	Rank 86	Rank 87	Rank 88	Rank 89	Rank 90	Rank 91	Rank 92	Rank 93	Rank 94	Rank 95	Rank 96	Rank 97	Rank 98	Rank 99	Rank 100	Rank 101	Rank 102	Rank 103	Rank 104	Rank 105	Rank 106	Rank 107	Rank 108	Rank 109	Rank 110	Rank 111	Rank 112	Rank 113	Rank 114	Rank 115	Rank 116	Rank 117	Rank 118	Rank 119	Rank 120	Rank 121	Rank 122	Rank 123	Rank 124	Rank 125	Rank 126	Rank 127	Rank 128	Rank 129	Rank 130	Rank 131	Rank 132	Rank 133	Rank 134	Rank 135	Rank 136	Rank 137	Rank 138	Rank 139	Rank 140	Rank 141	Rank 142	Rank 143	Rank 144	Rank 145	Rank 146	Rank 147	Rank 148	Rank 149	Rank 150	Rank 151	Rank 152	Rank 153	Rank 154	Rank 155	Rank 156	Rank 157	Rank 158	Rank 159	Rank 160	Rank 161	Rank 162	Rank 163	Rank 164	Rank 165	Rank 166	Rank 167	Rank 168	Rank 169	Rank 170	Rank 171	Rank 172	Rank 173	Rank 174	Rank 175	Rank 176	Rank 177	Rank 178	Rank 179	Rank 180	Rank 181	Rank 182	Rank 183	Rank 184	Rank 185	Rank 186	Rank 187	Rank 188	Rank 189	Rank 190	Rank 191	
From rank 0 to: 	0	86	190	13	0	77	0	0	0	11	0	145	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
